tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
512,128,256,128,-1.0,False,1630502048295
8,16,2,16,-1.0,False,1630502048295
256,512,1,64,-1.0,False,1630502048295
256,512,256,2,-1.0,False,1630502048295
1024,4,2,2,-1.0,False,1630502048295
512,256,1,4,-1.0,False,1630502048295
256,128,4,2,-1.0,False,1630502048295
1024,1024,128,512,-1.0,False,1630502048295
1024,4,8,1,-1.0,False,1630502048295
64,64,1,2,-1.0,False,1630502048295
8,1024,8,4,-1.0,False,1630502048295
32,1024,8,8,-1.0,False,1630502048295
1024,32,1024,2,-1.0,False,1630502048295
128,1024,32,256,-1.0,False,1630502048295
1024,4,512,1,-1.0,False,1630502048295
64,128,2,16,-1.0,False,1630502048295
256,8,16,8,-1.0,False,1630502048295
512,32,8,16,-1.0,False,1630502048295
512,32,2,8,-1.0,False,1630502048295
1,256,1,32,-1.0,False,1630502048295
