tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,1024,256,64,-1,1634,472.0,7.0,178.0,160.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
512,1024,512,16,-1,2116,482.0,4.0,182.0,170.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
2,512,1,128,0.022688,2837,721.0,5.0,182.0,410.0,NO_ERROR,
512,512,1,2,0.128736,3504,667.0,5.0,176.0,351.0,NO_ERROR,
256,64,128,2,0.003584,4182,678.0,4.0,186.0,363.0,NO_ERROR,
1024,128,256,64,-1,4746,564.0,6.0,178.0,256.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
512,64,64,8,0.003584,5506,760.0,4.0,174.0,454.0,NO_ERROR,
1024,64,8,4,0.005472,6120,614.0,4.0,179.0,305.0,NO_ERROR,
1024,512,256,512,-1,6650,530.0,3.0,188.0,211.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,256,32,16,0.005856,7249,599.0,4.0,177.0,291.0,NO_ERROR,
256,64,256,64,-1,7753,504.0,3.0,178.0,204.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
128,512,64,64,-1,8228,475.0,5.0,173.0,174.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
32,1024,1,2,0.047168,8896,667.0,3.0,179.0,361.0,NO_ERROR,
64,4,2,4,0.004128,9493,597.0,4.0,183.0,286.0,NO_ERROR,
256,64,8,4,0.003488,10069,576.0,3.0,178.0,266.0,NO_ERROR,
512,2,32,2,0.003296,10778,709.0,3.0,178.0,404.0,NO_ERROR,
64,128,64,64,-1,11274,495.0,3.0,179.0,174.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,16,512,2,0.00368,11975,701.0,4.0,179.0,382.0,NO_ERROR,
64,64,2,16,0.003776,12585,610.0,3.0,174.0,294.0,NO_ERROR,
16,1024,4,8,0.010048,13199,614.0,4.0,173.0,312.0,NO_ERROR,
