tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1024,1024,0.005216,1732,573.0,5.0,176.0,268.0,NO_ERROR,
1024,2,0.005056,2279,547.0,5.0,174.0,247.0,NO_ERROR,
512,4,0.006144,2854,575.0,4.0,179.0,267.0,NO_ERROR,
8,1,0.01024,3413,559.0,4.0,174.0,255.0,NO_ERROR,
128,1,0.004096,3987,573.0,4.0,176.0,264.0,NO_ERROR,
128,2,0.004,4571,583.0,4.0,181.0,277.0,NO_ERROR,
16,16,0.006464,5132,561.0,3.0,173.0,264.0,NO_ERROR,
32,32,0.005984,5723,591.0,4.0,173.0,293.0,NO_ERROR,
512,256,0.004,6300,576.0,4.0,171.0,279.0,NO_ERROR,
1024,1,0.004992,6848,547.0,4.0,175.0,249.0,NO_ERROR,
128,8,0.004096,7399,550.0,3.0,172.0,257.0,NO_ERROR,
16,1,0.006752,8019,619.0,4.0,201.0,292.0,NO_ERROR,
256,2,0.004096,8592,572.0,3.0,179.0,266.0,NO_ERROR,
512,512,0.004096,9162,570.0,3.0,179.0,269.0,NO_ERROR,
256,4,0.004096,9733,571.0,5.0,173.0,270.0,NO_ERROR,
2,1,0.028672,10302,569.0,3.0,183.0,263.0,NO_ERROR,
512,64,0.004096,10876,574.0,4.0,177.0,272.0,NO_ERROR,
512,2,0.004096,11460,584.0,4.0,177.0,272.0,NO_ERROR,
512,128,0.004064,12037,576.0,3.0,171.0,276.0,NO_ERROR,
16,8,0.006976,12612,575.0,5.0,174.0,276.0,NO_ERROR,
