tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
64,1024,1024,0.005792,1856,628.0,16.0,179.0,306.0,NO_ERROR,
2,512,1,0.004128,2475,619.0,7.0,179.0,303.0,NO_ERROR,
1,512,512,0.004096,3076,601.0,5.0,182.0,284.0,NO_ERROR,
32,1024,32,0.006048,3691,615.0,7.0,180.0,307.0,NO_ERROR,
512,1024,128,0.012288,4293,602.0,5.0,176.0,293.0,NO_ERROR,
2,256,8,0.003616,4887,594.0,5.0,180.0,287.0,NO_ERROR,
16,512,256,0.004896,5507,620.0,4.0,183.0,308.0,NO_ERROR,
128,2,1,0.012288,6108,601.0,5.0,182.0,290.0,NO_ERROR,
8,64,8,0.003936,6741,633.0,5.0,179.0,324.0,NO_ERROR,
2,1,1,0.031392,7340,598.0,4.0,181.0,289.0,NO_ERROR,
8,64,1,0.004096,7969,629.0,4.0,180.0,318.0,NO_ERROR,
256,1024,2,0.008192,8563,594.0,4.0,187.0,276.0,NO_ERROR,
512,32,4,0.012288,9148,585.0,3.0,182.0,277.0,NO_ERROR,
8,64,16,0.004096,9748,599.0,5.0,176.0,295.0,NO_ERROR,
8,128,8,0.004096,10374,626.0,4.0,180.0,321.0,NO_ERROR,
32,64,16,0.00416,10993,619.0,3.0,183.0,305.0,NO_ERROR,
4,1024,1024,0.004,11601,608.0,3.0,178.0,305.0,NO_ERROR,
32,16,16,0.005056,12223,622.0,4.0,179.0,318.0,NO_ERROR,
64,32,8,0.006144,12854,631.0,5.0,182.0,318.0,NO_ERROR,
1,1024,32,0.006016,13448,593.0,7.0,186.0,279.0,NO_ERROR,
8,32,4,0.004096,14047,599.0,5.0,183.0,284.0,NO_ERROR,
256,1,1,0.020832,14663,616.0,4.0,183.0,302.0,NO_ERROR,
64,1024,2,0.004288,15286,623.0,4.0,189.0,305.0,NO_ERROR,
128,1,1,0.020768,15907,621.0,4.0,186.0,305.0,NO_ERROR,
256,512,512,0.009536,16498,591.0,4.0,183.0,285.0,NO_ERROR,
32,16,1,0.004192,17120,621.0,3.0,180.0,315.0,NO_ERROR,
512,1024,2,0.012384,17750,630.0,3.0,182.0,322.0,NO_ERROR,
2,1024,512,0.004416,18373,623.0,4.0,182.0,313.0,NO_ERROR,
32,512,16,0.004288,18988,615.0,3.0,181.0,309.0,NO_ERROR,
8,256,4,0.005216,19609,621.0,5.0,182.0,313.0,NO_ERROR,
32,1024,16,0.004096,20246,636.0,5.0,180.0,325.0,NO_ERROR,
