tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
64,1024,1024,0.005792,True,1630511481451
2,512,1,0.004128,True,1630511481451
1,512,512,0.004096,True,1630511481451
32,1024,32,0.006048,True,1630511481451
512,1024,128,0.012288,True,1630511481451
2,256,8,0.003616,True,1630511481451
16,512,256,0.004896,True,1630511481451
128,2,1,0.012288,True,1630511481451
8,64,8,0.003936,True,1630511481451
2,1,1,0.031392,True,1630511481451
8,64,1,0.004096,True,1630511481451
256,1024,2,0.008192,True,1630511481451
512,32,4,0.012288,True,1630511481451
8,64,16,0.004096,True,1630511481451
8,128,8,0.004096,True,1630511481451
32,64,16,0.00416,True,1630511481451
4,1024,1024,0.004,True,1630511481451
32,16,16,0.005056,True,1630511481451
64,32,8,0.006144,True,1630511481451
1,1024,32,0.006016,True,1630511481451
8,32,4,0.004096,True,1630511481451
256,1,1,0.020832,True,1630511481451
64,1024,2,0.004288,True,1630511481451
128,1,1,0.020768,True,1630511481451
256,512,512,0.009536,True,1630511481451
32,16,1,0.004192,True,1630511481451
512,1024,2,0.012384,True,1630511481451
2,1024,512,0.004416,True,1630511481451
32,512,16,0.004288,True,1630511481451
8,256,4,0.005216,True,1630511481451
32,1024,16,0.004096,True,1630511482087
