tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
64,1024,4,1024,-1.0,False,1630501950372
64,1024,32,128,-1.0,False,1630501950372
32,8,4,8,0.004096,True,1630501950372
512,1024,512,2,0.011616,True,1630501950372
32,16,32,4,0.00416,True,1630501950372
1024,1024,32,1,0.034112,True,1630501950372
64,128,16,128,-1.0,False,1630501950372
64,64,8,32,0.00384,True,1630501950372
128,256,16,2,0.004736,True,1630501950372
256,128,2,8,0.005376,True,1630501950372
128,4,32,2,0.003744,True,1630501950372
16,1024,1,1024,0.007936,True,1630501950372
1024,4,32,4,0.003648,True,1630501950372
32,256,8,256,-1.0,False,1630501950372
1,256,1,64,0.02768,True,1630501950372
64,256,4,256,0.004224,True,1630501950372
8,256,4,32,0.008192,True,1630501950372
256,512,64,16,0.005696,True,1630501950372
512,64,1,2,0.019008,True,1630501950372
256,512,64,1,0.0056,True,1630501950372
