tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
8388608.0,1024.0,8192.0,8388608.0,512.0,976.842496,True,1661564620867
64.0,64.0,16777216.0,32.0,8.0,2147483647.0,False,1661564620867
8192.0,16.0,33554432.0,8.0,16.0,2147483647.0,False,1661564620867
8192.0,128.0,8.0,256.0,32.0,12.791808,True,1661564620867
4096.0,32.0,1.0,2.0,32.0,2147483647.0,False,1661564620867
64.0,4.0,8192.0,16.0,1.0,2147483647.0,False,1661564620867
8192.0,128.0,8388608.0,256.0,32.0,33.322208,True,1661564624496
8388608.0,128.0,1.0,8388608.0,128.0,625.390464,True,1661564628200
8192.0,1024.0,1.0,8192.0,1024.0,644.468544,True,1661564631519
67108864.0,512.0,1.0,256.0,512.0,40.786336,True,1661564635465
8192.0,128.0,67108864.0,256.0,32.0,368.727936,True,1661564638327
8192.0,1024.0,1.0,256.0,1024.0,53.655264,True,1661564642605
4194304.0,256.0,65536.0,524288.0,128.0,164.73072,True,1661564645034
8192.0,1024.0,1.0,256.0,1.0,3.580864,True,1661564648286
65536.0,1024.0,1.0,256.0,1.0,3.54928,True,1661564652322
67108864.0,1024.0,1.0,256.0,1.0,686.117792,True,1661564655544
1048576.0,1024.0,1.0,256.0,1.0,12.607488,True,1661564659485
65536.0,1024.0,8.0,256.0,1.0,7.419904,True,1661564663278
16384.0,256.0,262144.0,256.0,2.0,5.124096,True,1661564666795
67108864.0,1024.0,16777216.0,16384.0,1024.0,42.172032,True,1661564670906
67108864.0,1024.0,67108864.0,131072.0,1024.0,41.222112,True,1661564674908
67108864.0,128.0,67108864.0,67108864.0,1.0,611.19488,True,1661564678565
67108864.0,1024.0,16777216.0,131072.0,1024.0,43.507712,True,1661564683076
8192.0,1024.0,1.0,1024.0,1.0,3.53248,True,1661564687165
33554432.0,1024.0,67108864.0,512.0,1024.0,101.211648,True,1661564690318
67108864.0,1024.0,1.0,67108864.0,1024.0,628.996096,True,1661564694004
33554432.0,1024.0,1.0,33554432.0,1024.0,662.505792,True,1661564697854
8192.0,1024.0,4194304.0,256.0,1.0,7.146528,True,1661564701575
8192.0,1024.0,1.0,4096.0,1.0,3.540576,True,1661564705626
67108864.0,1024.0,67108864.0,256.0,256.0,38.720768,True,1661564710166
8192.0,1024.0,1.0,8192.0,1.0,3.551168,True,1661564714218
67108864.0,256.0,1.0,67108864.0,256.0,617.038208,True,1661564717876
16777216.0,1024.0,67108864.0,256.0,1024.0,132.560896,True,1661564720752
67108864.0,1024.0,67108864.0,256.0,512.0,40.630816,True,1661564725483
33554432.0,128.0,67108864.0,256.0,1.0,591.284736,True,1661564729037
67108864.0,1024.0,33554432.0,67108864.0,1024.0,1372.215584,True,1661564733415
16777216.0,128.0,67108864.0,16777216.0,1.0,328.726368,True,1661564736845
8192.0,1024.0,67108864.0,256.0,256.0,493.96288,True,1661564740432
16777216.0,1024.0,1.0,256.0,1024.0,48.074784,True,1661564744595
16777216.0,1024.0,1.0,256.0,1.0,196.420512,True,1661564747799
8192.0,128.0,1.0,4096.0,1.0,6.303872,True,1661564751508
8192.0,1024.0,1.0,256.0,1.0,3.590784,True,1661564755029
8192.0,1024.0,1.0,256.0,1.0,3.56352,True,1661564758507
8192.0,1024.0,1.0,256.0,1.0,3.555488,True,1661564762101
8192.0,1024.0,1.0,256.0,1.0,3.561312,True,1661564765661
8192.0,1024.0,1.0,256.0,1.0,3.564544,True,1661564769225
8192.0,1024.0,1.0,256.0,1.0,3.56048,True,1661564772843
256.0,1024.0,1.0,256.0,1.0,3.5144,True,1661564776397
256.0,1024.0,1.0,256.0,1.0,3.509856,True,1661564780072
256.0,1024.0,1.0,256.0,1.0,3.512544,True,1661564783832
