tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
64.0,256.0,524288.0,32.0,16.0,2147483647.0,False,1661606959953
512.0,64.0,67108864.0,128.0,4.0,195.475552,True,1661606959953
65536.0,512.0,16.0,64.0,1.0,2147483647.0,False,1661606959953
33554432.0,16.0,16.0,32.0,4.0,2147483647.0,False,1661606959953
2097152.0,32.0,512.0,128.0,4.0,36.673536,True,1661606959953
1048576.0,256.0,65536.0,524288.0,8.0,16.54896,True,1661606959953
524288.0,8.0,1048576.0,32.0,2.0,2147483647.0,False,1661606964840
65536.0,4.0,8.0,4096.0,1.0,528.11968,True,1661606967604
16384.0,16.0,65536.0,64.0,16.0,2147483647.0,False,1661606972522
2048.0,16.0,8388608.0,128.0,8.0,53.765472,True,1661606978370
8388608.0,256.0,1.0,128.0,256.0,38.316032,True,1661606984222
67108864.0,32.0,512.0,32768.0,16.0,215.149632,True,1661606987638
524288.0,256.0,67108864.0,524288.0,256.0,1416.755712,True,1661606992660
262144.0,512.0,2097152.0,128.0,1.0,6.249312,True,1661606996048
256.0,1024.0,131072.0,128.0,1.0,3.540992,True,1661606999961
67108864.0,1024.0,131072.0,128.0,1.0,1102.093568,True,1661607004106
65536.0,4.0,8388608.0,256.0,1.0,231.225408,True,1661607006890
33554432.0,8.0,1048576.0,131072.0,8.0,194.710752,True,1661607010003
262144.0,256.0,32768.0,131072.0,8.0,14.828704,True,1661607014298
524288.0,64.0,33554432.0,32.0,32.0,2147483647.0,False,1661607019375
1048576.0,256.0,1.0,512.0,64.0,9.374688,True,1661607023231
256.0,1.0,128.0,256.0,1.0,480.176128,True,1661607026773
32768.0,512.0,1.0,512.0,1.0,3.508224,True,1661607031117
524288.0,256.0,1.0,128.0,1.0,5.241024,True,1661607035646
512.0,1024.0,1.0,128.0,1.0,3.015328,True,1661607039571
8192.0,1024.0,1024.0,128.0,1.0,3.80752,True,1661607043366
65536.0,512.0,1.0,128.0,8.0,2.596864,True,1661607047282
524288.0,256.0,1.0,128.0,8.0,3.159904,True,1661607051071
128.0,1024.0,1.0,128.0,32.0,17.901408,True,1661607055761
16384.0,512.0,1.0,128.0,4.0,2.977792,True,1661607059369
131072.0,512.0,1.0,128.0,4.0,2.977792,True,1661607063009
4096.0,1024.0,1.0,4096.0,1.0,3.473792,True,1661607066650
128.0,512.0,1.0,128.0,1.0,3.057664,True,1661607070334
131072.0,1024.0,1.0,128.0,32.0,2.529536,True,1661607074123
65536.0,1024.0,1.0,128.0,16.0,2.297312,True,1661607077975
65536.0,1024.0,1.0,65536.0,16.0,9.85904,True,1661607082290
262144.0,512.0,1.0,1.0,32.0,2147483647.0,False,1661607087702
65536.0,1024.0,1.0,1.0,16.0,2147483647.0,False,1661607093280
524288.0,512.0,1.0,128.0,16.0,3.3888,True,1661607097740
128.0,1024.0,1048576.0,128.0,2.0,16.383008,True,1661607102514
128.0,1024.0,65536.0,128.0,512.0,239.937536,True,1661607105831
128.0,1024.0,4096.0,128.0,1.0,3.313632,True,1661607109755
131072.0,256.0,131072.0,131072.0,1.0,3.25408,True,1661607113566
16384.0,128.0,1.0,16384.0,1.0,5.87808,True,1661607117501
8192.0,1024.0,1.0,1.0,64.0,2147483647.0,False,1661607122704
32768.0,1024.0,1.0,128.0,32.0,2.514944,True,1661607126380
4096.0,64.0,1.0,128.0,64.0,47.452448,True,1661607132583
2048.0,512.0,1024.0,2048.0,1.0,4.44416,True,1661607136671
4096.0,1024.0,1.0,1.0,16.0,2147483647.0,False,1661607142176
65536.0,1024.0,67108864.0,65536.0,1.0,120.930304,True,1661607145294
8192.0,256.0,131072.0,128.0,1.0,4.564032,True,1661607149375
8192.0,1024.0,65536.0,8192.0,1.0,5.220768,True,1661607153312
524288.0,128.0,524288.0,2048.0,1.0,5.925952,True,1661607157392
128.0,128.0,8192.0,128.0,1.0,3.633248,True,1661607161295
128.0,256.0,32.0,128.0,1.0,3.40832,True,1661607165186
1024.0,256.0,1.0,128.0,1.0,3.618624,True,1661607169017
524288.0,128.0,8192.0,524288.0,1.0,9.695232,True,1661607173409
65536.0,1024.0,4.0,128.0,16.0,3.07728,True,1661607177463
4096.0,1024.0,8.0,128.0,1.0,5.729088,True,1661607181551
512.0,1024.0,16384.0,1.0,1.0,2147483647.0,False,1661607186849
131072.0,512.0,32768.0,128.0,1.0,3.15104,True,1661607190660
128.0,1.0,67108864.0,128.0,1.0,1089.187104,True,1661607194772
65536.0,1024.0,1.0,1.0,8.0,2147483647.0,False,1661607200516
1024.0,1024.0,16384.0,128.0,1.0,3.59152,True,1661607204424
128.0,512.0,32768.0,1.0,1.0,2147483647.0,False,1661607210060
67108864.0,1.0,1.0,128.0,1.0,577.927232,True,1661607213830
128.0,256.0,16384.0,1.0,1.0,2147483647.0,False,1661607219365
524288.0,512.0,1.0,1.0,16.0,2147483647.0,False,1661607225015
128.0,1024.0,65536.0,1.0,1.0,2147483647.0,False,1661607230660
1.0,128.0,512.0,1.0,1.0,2147483647.0,False,1661607236533
32768.0,1024.0,1.0,128.0,1024.0,38.399808,True,1661607242377
65536.0,1024.0,1.0,16.0,16.0,2147483647.0,False,1661607247946
128.0,512.0,32768.0,128.0,1.0,5.781504,True,1661607252123
131072.0,1024.0,1.0,128.0,8.0,2.964192,True,1661607255964
128.0,64.0,512.0,128.0,1.0,6.674112,True,1661607260237
65536.0,1024.0,1.0,128.0,8.0,2.295136,True,1661607263854
128.0,1024.0,1.0,128.0,1.0,3.290464,True,1661607267563
65536.0,1024.0,1.0,128.0,16.0,2.980832,True,1661607271219
65536.0,1024.0,1.0,16.0,8.0,2147483647.0,False,1661607276630
65536.0,512.0,1.0,128.0,8.0,2.983456,True,1661607280254
65536.0,256.0,32768.0,128.0,1.0,3.83792,True,1661607283850
32768.0,1024.0,1.0,128.0,8.0,2.793472,True,1661607287604
128.0,1024.0,128.0,128.0,1.0,3.43072,True,1661607291518
131072.0,1024.0,1.0,128.0,16.0,2.351808,True,1661607295212
32768.0,512.0,1.0,1.0,8.0,2147483647.0,False,1661607300494
131072.0,256.0,1.0,1.0,8.0,2147483647.0,False,1661607305875
65536.0,1024.0,1.0,1.0,4.0,2147483647.0,False,1661607311054
131072.0,1024.0,1.0,128.0,16.0,2.295808,True,1661607314673
