tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
128.0,256.0,16.0,4.0,8.0,2147483647.0,False,1661606559287
67108864.0,1024.0,2.0,4194304.0,256.0,221.945728,True,1661606560536
32768.0,512.0,1048576.0,128.0,1.0,11.321344,True,1661606562870
2097152.0,1024.0,2048.0,8.0,32.0,2147483647.0,False,1661606566336
2048.0,512.0,1048576.0,128.0,1.0,3.917536,True,1661606568288
32768.0,1024.0,131072.0,128.0,4.0,2.712448,True,1661606570170
1024.0,128.0,1048576.0,8.0,1.0,2147483647.0,False,1661606573619
32768.0,512.0,262144.0,128.0,1.0,5.778944,True,1661606575647
1048576.0,512.0,65536.0,1048576.0,128.0,274.86304,True,1661606576958
512.0,1024.0,1.0,8.0,8.0,2147483647.0,False,1661606580501
4096.0,1024.0,256.0,8.0,1024.0,2147483647.0,False,1661606584115
524288.0,32.0,4.0,8192.0,16.0,118.774432,True,1661606585268
32.0,256.0,4194304.0,4.0,2.0,2147483647.0,False,1661606588976
128.0,64.0,67108864.0,16.0,32.0,2147483647.0,False,1661606592514
8388608.0,512.0,16777216.0,8.0,1.0,2147483647.0,False,1661606595970
524288.0,128.0,16.0,4096.0,2.0,26.718752,True,1661606599137
32768.0,512.0,131072.0,128.0,2.0,2.844512,True,1661606601025
32768.0,512.0,131072.0,128.0,2.0,2.84112,True,1661606602876
131072.0,1024.0,131072.0,128.0,4.0,2.164768,True,1661606604717
8192.0,512.0,131072.0,64.0,2.0,2147483647.0,False,1661606608205
131072.0,1024.0,1024.0,128.0,4.0,2.165824,True,1661606610070
131072.0,512.0,131072.0,128.0,4.0,2.286272,True,1661606611938
262144.0,1024.0,131072.0,256.0,8.0,2.981888,True,1661606613877
131072.0,1024.0,262144.0,128.0,4.0,2.181728,True,1661606615698
33554432.0,1.0,8388608.0,32768.0,1.0,1096.540896,True,1661606617851
1024.0,4.0,8192.0,1024.0,2.0,198.457344,True,1661606619082
131072.0,1024.0,131072.0,256.0,4.0,2.18496,True,1661606620962
524288.0,512.0,131072.0,1024.0,1.0,10.420224,True,1661606623268
131072.0,1024.0,131072.0,128.0,4.0,2.164672,True,1661606625095
131072.0,1024.0,131072.0,128.0,256.0,9.59456,True,1661606627320
131072.0,16.0,131072.0,128.0,16.0,60.10416,True,1661606632212
262144.0,1024.0,131072.0,512.0,4.0,2.569472,True,1661606634101
33554432.0,1024.0,1024.0,16777216.0,4.0,793.661984,True,1661606635939
131072.0,1024.0,128.0,128.0,512.0,6.373376,True,1661606638029
131072.0,1024.0,131072.0,128.0,1024.0,46.969376,True,1661606642281
131072.0,1024.0,131072.0,128.0,8.0,2.28352,True,1661606644116
131072.0,1024.0,262144.0,128.0,4.0,2.183008,True,1661606645938
131072.0,1024.0,131072.0,128.0,8.0,2.28352,True,1661606647762
65536.0,1024.0,131072.0,128.0,8.0,2.287232,True,1661606649618
131072.0,1024.0,65536.0,128.0,4.0,2.195488,True,1661606651474
33554432.0,1024.0,512.0,65536.0,64.0,6.222336,True,1661606653616
2048.0,256.0,524288.0,64.0,4.0,2147483647.0,False,1661606657394
1048576.0,1024.0,16384.0,1048576.0,512.0,595.578912,True,1661606659035
1048576.0,4.0,128.0,131072.0,4.0,456.156928,True,1661606660526
67108864.0,1.0,67108864.0,67108864.0,1.0,573.664896,True,1661606662131
256.0,1024.0,131072.0,128.0,4.0,2.3816,True,1661606663966
131072.0,512.0,131072.0,128.0,2.0,2.836512,True,1661606665838
131072.0,256.0,131072.0,64.0,256.0,2147483647.0,False,1661606669553
4194304.0,8.0,524288.0,524288.0,2.0,144.365216,True,1661606670750
1048576.0,512.0,131072.0,8192.0,4.0,4.127872,True,1661606672781
131072.0,1024.0,131072.0,128.0,4.0,2.165184,True,1661606674582
524288.0,512.0,131072.0,512.0,16.0,3.512192,True,1661606676571
