tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
131072.0,128.0,262144.0,32768.0,2.0,6.14064,True,1661606110860
16777216.0,4.0,131072.0,8192.0,2.0,276.70112,True,1661606110860
1024.0,512.0,262144.0,1024.0,4.0,3.886272,True,1661606110860
2048.0,64.0,8388608.0,1.0,4.0,2147483647.0,False,1661606110860
256.0,4.0,256.0,256.0,1.0,189.93616,True,1661606110860
524288.0,32.0,16.0,4.0,4.0,2147483647.0,False,1661606110860
8192.0,512.0,32768.0,4.0,16.0,2147483647.0,False,1661606110860
8192.0,512.0,32.0,32.0,128.0,2147483647.0,False,1661606110860
2048.0,64.0,4194304.0,1.0,2.0,2147483647.0,False,1661606110860
32768.0,1024.0,8.0,32768.0,256.0,523.8904,True,1661606110860
16384.0,8.0,524288.0,4096.0,4.0,65.760256,True,1661606110860
8388608.0,64.0,8.0,16384.0,32.0,70.084192,True,1661606110860
16384.0,128.0,67108864.0,64.0,128.0,2147483647.0,False,1661606110860
524288.0,512.0,16777216.0,256.0,128.0,44.647072,True,1661606110860
4194304.0,1024.0,1.0,262144.0,32.0,4.234816,True,1661606110860
64.0,64.0,16384.0,64.0,4.0,2147483647.0,False,1661606110860
16384.0,16.0,4096.0,4096.0,2.0,71.344704,True,1661606110860
524288.0,1024.0,2048.0,524288.0,128.0,151.5848,True,1661606110860
16777216.0,16.0,32768.0,131072.0,4.0,120.536384,True,1661606110860
4194304.0,512.0,65536.0,262144.0,16.0,8.961664,True,1661606110860
33554432.0,256.0,16777216.0,8.0,8.0,2147483647.0,False,1661606110860
1048576.0,256.0,16384.0,1024.0,32.0,11.37664,True,1661606110860
67108864.0,16.0,4096.0,16384.0,8.0,75.553664,True,1661606110860
131072.0,512.0,16.0,4096.0,16.0,5.7264,True,1661606110860
262144.0,64.0,512.0,16384.0,1.0,37.322752,True,1661606110860
8192.0,128.0,65536.0,2.0,16.0,2147483647.0,False,1661606110860
1048576.0,512.0,67108864.0,1048576.0,16.0,134.228928,True,1661606110860
16384.0,128.0,2.0,16384.0,4.0,67.686848,True,1661606110860
1048576.0,16.0,8388608.0,16.0,1.0,2147483647.0,False,1661606110860
262144.0,256.0,128.0,32768.0,2.0,13.652704,True,1661606110860
131072.0,32.0,262144.0,4096.0,8.0,20.128384,True,1661606110860
4194304.0,128.0,262144.0,4096.0,1.0,69.644288,True,1661606110860
33554432.0,1024.0,256.0,512.0,16.0,119.207712,True,1661606110860
262144.0,4.0,131072.0,256.0,1.0,120.958944,True,1661606110860
4194304.0,128.0,67108864.0,64.0,32.0,2147483647.0,False,1661606110860
262144.0,64.0,1.0,4096.0,64.0,37.42528,True,1661606110860
8192.0,32.0,8388608.0,512.0,32.0,81.3768,True,1661606110860
8388608.0,32.0,32768.0,1024.0,2.0,84.14816,True,1661606110860
