tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
64.0,128.0,67108864.0,8.0,2.0,2147483647.0,False,1661609050842
8192.0,32.0,4096.0,32.0,16.0,2147483647.0,False,1661609050842
1048576.0,256.0,32.0,32768.0,256.0,23.873728,True,1661609050842
4096.0,256.0,8.0,4.0,128.0,2147483647.0,False,1661609050842
262144.0,256.0,262144.0,262144.0,256.0,614.989376,True,1661609050842
4194304.0,1024.0,33554432.0,4194304.0,256.0,272.104064,True,1661609050842
16384.0,64.0,2097152.0,32.0,4.0,2147483647.0,False,1661609050842
4194304.0,1024.0,16.0,1048576.0,128.0,103.901696,True,1661609050842
67108864.0,1024.0,16777216.0,67108864.0,8.0,1130.831872,True,1661609050842
65536.0,64.0,2097152.0,1024.0,64.0,53.293056,True,1661609050842
131072.0,256.0,8388608.0,4096.0,256.0,79.371904,True,1661609050842
67108864.0,128.0,32.0,67108864.0,64.0,2848.129024,True,1661609050842
8388608.0,32.0,2097152.0,8388608.0,32.0,1122.666496,True,1661609050842
67108864.0,512.0,32768.0,131072.0,8.0,289.050656,True,1661609050842
65536.0,1024.0,2097152.0,4096.0,1024.0,79.1408,True,1661609050842
16777216.0,512.0,16.0,2048.0,512.0,59.95632,True,1661609050842
33554432.0,128.0,524288.0,1.0,128.0,2147483647.0,False,1661609050842
8.0,128.0,16777216.0,1.0,16.0,2147483647.0,False,1661609050842
65536.0,4.0,512.0,8192.0,1.0,293.211712,True,1661609050842
67108864.0,256.0,16777216.0,33554432.0,256.0,561.176128,True,1661609050842
8192.0,1024.0,262144.0,256.0,64.0,3.993792,True,1661609050842
67108864.0,128.0,256.0,16384.0,2.0,1481.261344,True,1661609050842
4194304.0,64.0,16384.0,32768.0,64.0,46.17216,True,1661609050842
67108864.0,512.0,128.0,67108864.0,16.0,2898.968192,True,1661609050842
16777216.0,256.0,33554432.0,1024.0,16.0,25.053888,True,1661609050842
33554432.0,32.0,2.0,524288.0,32.0,137.178048,True,1661609050842
8388608.0,512.0,67108864.0,1048576.0,2.0,133.177376,True,1661609050842
33554432.0,1024.0,4194304.0,1048576.0,1.0,504.59008,True,1661609050842
33554432.0,32.0,65536.0,2048.0,16.0,67.08416,True,1661609050842
8388608.0,512.0,2048.0,131072.0,512.0,66.553472,True,1661609050842
131072.0,512.0,262144.0,16384.0,64.0,14.735264,True,1661609050842
8388608.0,16.0,4096.0,262144.0,16.0,176.486432,True,1661609050842
2097152.0,16.0,16384.0,2097152.0,8.0,545.560096,True,1661609050842
4194304.0,32.0,8.0,1048576.0,32.0,754.729824,True,1661609050842
2097152.0,32.0,1048576.0,8192.0,1.0,40.426784,True,1661609050842
8192.0,32.0,2048.0,256.0,1.0,13.90192,True,1661609050842
1048576.0,64.0,1048576.0,1024.0,8.0,11.890176,True,1661609050842
16384.0,128.0,8192.0,4.0,128.0,2147483647.0,False,1661609050842
1024.0,32.0,524288.0,256.0,1.0,14.010112,True,1661609050842
33554432.0,128.0,8.0,33554432.0,32.0,1527.7568,True,1661609050842
33554432.0,1024.0,2097152.0,33554432.0,512.0,549.1592,True,1661609050842
4194304.0,1024.0,524288.0,2097152.0,512.0,240.22384,True,1661609050842
16777216.0,1024.0,2048.0,2048.0,4.0,197.6576,True,1661609050842
65536.0,256.0,2097152.0,16384.0,128.0,109.592864,True,1661609050842
2097152.0,512.0,16384.0,16384.0,8.0,10.262304,True,1661609050842
8388608.0,16.0,4096.0,8388608.0,1.0,249.495552,True,1661609050842
524288.0,64.0,8192.0,32768.0,2.0,16.61264,True,1661609050842
16777216.0,1024.0,262144.0,1.0,512.0,2147483647.0,False,1661609050842
33554432.0,256.0,8388608.0,524288.0,8.0,100.079616,True,1661609050842
16777216.0,512.0,2097152.0,2097152.0,128.0,33.202048,True,1661609050842
131072.0,512.0,524288.0,32768.0,32.0,11.970048,True,1661609050842
4194304.0,1024.0,524288.0,524288.0,8.0,8.666368,True,1661609050842
8192.0,1024.0,512.0,1024.0,256.0,36.408416,True,1661609050842
8388608.0,1024.0,64.0,524288.0,16.0,23.426688,True,1661609050842
33554432.0,16.0,2048.0,2097152.0,16.0,230.4984,True,1661609050842
8192.0,1024.0,8192.0,1.0,2.0,2147483647.0,False,1661609050842
256.0,16.0,4096.0,4.0,1.0,2147483647.0,False,1661609050842
524288.0,32.0,4.0,64.0,32.0,2147483647.0,False,1661609050842
33554432.0,256.0,1.0,4.0,256.0,2147483647.0,False,1661609050842
67108864.0,1024.0,2048.0,64.0,16.0,2147483647.0,False,1661609050842
4194304.0,64.0,64.0,2048.0,8.0,49.144448,True,1661609050842
1048576.0,8.0,32.0,131072.0,1.0,350.439008,True,1661609050842
8388608.0,1024.0,131072.0,8192.0,256.0,13.932896,True,1661609050842
67108864.0,512.0,1048576.0,2097152.0,32.0,93.390624,True,1661609050842
128.0,256.0,65536.0,16.0,128.0,2147483647.0,False,1661609050842
33554432.0,64.0,256.0,4194304.0,64.0,404.385792,True,1661609050842
33554432.0,1024.0,67108864.0,8388608.0,16.0,217.54608,True,1661609050842
2097152.0,256.0,1048576.0,1048576.0,128.0,333.463392,True,1661609050842
262144.0,128.0,16.0,16.0,8.0,2147483647.0,False,1661609050842
1024.0,256.0,512.0,4.0,8.0,2147483647.0,False,1661609050842
8388608.0,32.0,32768.0,8192.0,1.0,177.166208,True,1661609050842
32.0,128.0,64.0,2.0,64.0,2147483647.0,False,1661609050842
67108864.0,1024.0,8192.0,67108864.0,1024.0,1910.349952,True,1661609050842
33554432.0,256.0,8192.0,131072.0,256.0,41.679872,True,1661609050842
32768.0,64.0,65536.0,128.0,16.0,14.391328,True,1661609050842
16384.0,1024.0,16.0,8192.0,1024.0,910.866272,True,1661609050842
67108864.0,1.0,131072.0,2097152.0,1.0,1868.335008,True,1661609050842
65536.0,512.0,8388608.0,32768.0,64.0,57.832512,True,1661609050842
1048576.0,16.0,1.0,32.0,8.0,2147483647.0,False,1661609050842
131072.0,1024.0,262144.0,65536.0,1024.0,394.819456,True,1661609050842
1048576.0,128.0,8192.0,4.0,8.0,2147483647.0,False,1661609050842
4194304.0,32.0,1048576.0,2048.0,32.0,82.653728,True,1661609050842
16777216.0,1024.0,8.0,8388608.0,512.0,773.769216,True,1661609050842
8388608.0,512.0,4096.0,8388608.0,64.0,250.036736,True,1661609050842
524288.0,16.0,2097152.0,2048.0,8.0,50.763616,True,1661609050842
8388608.0,64.0,2.0,8192.0,8.0,48.058528,True,1661609050842
8388608.0,4.0,1024.0,262144.0,1.0,498.272224,True,1661609050842
8192.0,1024.0,16777216.0,4.0,512.0,2147483647.0,False,1661609050842
4194304.0,1024.0,16.0,65536.0,1024.0,49.961088,True,1661609050842
8192.0,256.0,131072.0,256.0,256.0,56.696992,True,1661609050842
2097152.0,4.0,524288.0,32768.0,4.0,302.537024,True,1661609050842
2097152.0,1024.0,8388608.0,4096.0,128.0,7.988864,True,1661609050842
33554432.0,1024.0,262144.0,131072.0,1024.0,39.565216,True,1661609050842
65536.0,128.0,4194304.0,65536.0,16.0,70.434752,True,1661609050842
16777216.0,512.0,64.0,2097152.0,32.0,93.53232,True,1661609050842
1048576.0,128.0,512.0,64.0,1.0,2147483647.0,False,1661609050842
4194304.0,1024.0,67108864.0,8192.0,1024.0,209.243936,True,1661609050842
131072.0,128.0,1.0,64.0,16.0,2147483647.0,False,1661609050842
8192.0,8.0,32768.0,1.0,4.0,2147483647.0,False,1661609050842
4194304.0,64.0,8388608.0,8192.0,64.0,42.230048,True,1661609050842
1048576.0,1024.0,8.0,8.0,1024.0,2147483647.0,False,1661609050842
256.0,256.0,16384.0,32.0,128.0,2147483647.0,False,1661609050842
2097152.0,16.0,16777216.0,131072.0,8.0,82.909184,True,1661609050842
2097152.0,256.0,262144.0,2048.0,128.0,19.47648,True,1661609050842
33554432.0,1024.0,256.0,33554432.0,1024.0,2947.078176,True,1661609050842
67108864.0,256.0,512.0,131072.0,128.0,8.21072,True,1661609050842
16777216.0,1024.0,2097152.0,32768.0,256.0,9.314304,True,1661609050842
4.0,1024.0,1.0,4.0,512.0,2147483647.0,False,1661609050842
1048576.0,512.0,1024.0,64.0,256.0,2147483647.0,False,1661609050842
4194304.0,128.0,33554432.0,4194304.0,4.0,111.404512,True,1661609050842
8388608.0,32.0,2048.0,2097152.0,2.0,190.18768,True,1661609050842
32768.0,1024.0,4.0,32.0,1024.0,2147483647.0,False,1661609050842
524288.0,16.0,4096.0,1024.0,1.0,83.812352,True,1661609050842
8388608.0,1024.0,32768.0,4096.0,512.0,18.286496,True,1661609050842
2048.0,64.0,32.0,1024.0,1.0,16.351328,True,1661609050842
131072.0,1024.0,2048.0,128.0,1024.0,9.152928,True,1661609050842
2097152.0,1024.0,32.0,2097152.0,1024.0,2821.752,True,1661609050842
2097152.0,512.0,67108864.0,2048.0,128.0,135.987168,True,1661609050842
67108864.0,1024.0,512.0,33554432.0,64.0,1468.036576,True,1661609050842
16777216.0,512.0,65536.0,2097152.0,512.0,254.603232,True,1661609050842
67108864.0,2.0,33554432.0,16777216.0,1.0,1293.696896,True,1661609050842
32.0,128.0,8388608.0,2.0,128.0,2147483647.0,False,1661609050842
64.0,256.0,2048.0,8.0,2.0,2147483647.0,False,1661609050842
262144.0,128.0,4194304.0,262144.0,4.0,28.690144,True,1661609050842
1024.0,128.0,512.0,8.0,32.0,2147483647.0,False,1661609050842
33554432.0,128.0,32.0,524288.0,128.0,46.14144,True,1661609050842
524288.0,16.0,1048576.0,256.0,16.0,62.1544,True,1661609050842
2097152.0,8.0,16.0,16384.0,1.0,349.850336,True,1661609050842
4096.0,512.0,16384.0,4.0,1.0,2147483647.0,False,1661609050842
131072.0,256.0,16777216.0,32768.0,128.0,169.015456,True,1661609050842
67108864.0,1024.0,4194304.0,262144.0,256.0,39.288832,True,1661609050842
