tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
4096.0,512.0,128.0,32.0,512.0,20000000,False,0
32.0,128.0,33554432.0,2.0,1.0,20000000,False,0
1048576.0,256.0,131072.0,4096.0,128.0,18.97472,True,0
32768.0,512.0,67108864.0,2.0,256.0,20000000,False,0
524288.0,64.0,1.0,1024.0,1.0,9.73232,True,0
4194304.0,64.0,64.0,32.0,2.0,20000000,False,0
1048576.0,512.0,4096.0,1048576.0,16.0,35.506848,True,0
8388608.0,1024.0,16.0,8.0,16.0,20000000,False,0
64.0,1.0,1048576.0,1.0,1.0,20000000,False,0
128.0,512.0,16384.0,1.0,512.0,20000000,False,0
8192.0,512.0,1024.0,4.0,16.0,20000000,False,0
16777216.0,256.0,33554432.0,1048576.0,16.0,26.993632,True,0
262144.0,512.0,512.0,1024.0,1.0,28.673728,True,0
2.0,16.0,64.0,1.0,4.0,20000000,False,0
65536.0,64.0,2097152.0,1.0,2.0,20000000,False,0
4194304.0,64.0,512.0,8.0,16.0,20000000,False,0
67108864.0,2.0,256.0,256.0,1.0,1475.448544,True,0
67108864.0,256.0,256.0,1024.0,16.0,236.758176,True,0
67108864.0,256.0,8192.0,256.0,16.0,79.715488,True,0
67108864.0,4.0,1.0,256.0,1.0,645.343552,True,0
512.0,256.0,256.0,32.0,1.0,20000000,False,0
512.0,128.0,2.0,32.0,1.0,20000000,False,0
4194304.0,256.0,512.0,32.0,64.0,20000000,False,0
512.0,128.0,2.0,8.0,1.0,20000000,False,0
262144.0,512.0,8.0,32.0,512.0,20000000,False,0
262144.0,256.0,8.0,64.0,4.0,20000000,False,0
262144.0,256.0,2.0,2.0,32.0,20000000,False,0
8.0,256.0,512.0,2.0,64.0,20000000,False,0
4096.0,512.0,2.0,2.0,16.0,20000000,False,0
33554432.0,32.0,4096.0,2.0,4.0,20000000,False,0
2048.0,1024.0,4096.0,8.0,16.0,20000000,False,0
8388608.0,1024.0,4096.0,1024.0,16.0,18.806496,True,0
8388608.0,64.0,128.0,1048576.0,16.0,116.574752,True,0
8388608.0,512.0,32.0,32768.0,128.0,6.404096,True,0
8388608.0,512.0,67108864.0,8.0,128.0,20000000,False,0
256.0,1024.0,16.0,16.0,1024.0,20000000,False,0
8388608.0,64.0,256.0,8.0,32.0,20000000,False,0
4096.0,512.0,64.0,16.0,128.0,20000000,False,0
16384.0,512.0,4.0,1024.0,512.0,216.96224,True,0
4194304.0,64.0,64.0,64.0,2.0,20000000,False,0
4.0,64.0,16777216.0,1.0,4.0,20000000,False,0
4194304.0,16.0,16777216.0,1024.0,8.0,72.011936,True,0
131072.0,64.0,128.0,1024.0,1.0,15.368128,True,0
4096.0,64.0,65536.0,1024.0,1.0,7.4128,True,0
4096.0,64.0,64.0,1024.0,1.0,16.423648,True,0
8388608.0,64.0,524288.0,1024.0,1.0,165.599776,True,0
2097152.0,64.0,16384.0,1024.0,1.0,32.966656,True,0
65536.0,128.0,262144.0,1024.0,1.0,6.975552,True,0
65536.0,128.0,524288.0,1024.0,1.0,7.7312,True,0
16384.0,128.0,512.0,1024.0,1.0,8.83696,True,0
32768.0,32.0,32768.0,1024.0,1.0,17.891456,True,0
65536.0,1.0,1024.0,1024.0,1.0,1110.985568,True,0
8388608.0,64.0,4194304.0,1024.0,1.0,201.44416,True,0
2097152.0,64.0,2048.0,1024.0,1.0,20.873216,True,0
16777216.0,64.0,1.0,1024.0,1.0,168.644288,True,0
16384.0,64.0,8.0,1024.0,1.0,37.009792,True,0
8388608.0,64.0,64.0,1024.0,1.0,390.53824,True,0
2097152.0,64.0,2048.0,1024.0,1.0,20.563776,True,0
33554432.0,64.0,8192.0,1024.0,1.0,956.804512,True,0
16.0,512.0,1048576.0,1.0,512.0,20000000,False,0
32768.0,128.0,524288.0,1024.0,1.0,7.948864,True,0
32768.0,128.0,1.0,1024.0,1.0,5.842944,True,0
1048576.0,128.0,1.0,1024.0,1.0,9.224384,True,0
4096.0,128.0,1.0,1024.0,1.0,5.769664,True,0
16384.0,128.0,524288.0,1024.0,1.0,6.180736,True,0
16384.0,512.0,64.0,1024.0,1.0,10.455584,True,0
16384.0,512.0,33554432.0,1024.0,8.0,101.548128,True,0
16384.0,1024.0,33554432.0,1024.0,8.0,101.844064,True,0
16384.0,1024.0,8388608.0,1024.0,8.0,17.956672,True,0
16384.0,128.0,65536.0,1024.0,1.0,6.223968,True,0
16384.0,16.0,64.0,2048.0,1.0,69.981184,True,0
32768.0,128.0,524288.0,1024.0,1.0,7.937856,True,0
16384.0,1.0,64.0,16384.0,1.0,1145.777216,True,0
16777216.0,256.0,33554432.0,256.0,8.0,39.731168,True,0
16384.0,128.0,262144.0,1024.0,1.0,6.443328,True,0
16777216.0,32.0,4096.0,256.0,8.0,36.691936,True,0
131072.0,256.0,33554432.0,256.0,8.0,61.745248,True,0
65536.0,32.0,8192.0,256.0,8.0,16.520544,True,0
16777216.0,256.0,16777216.0,256.0,8.0,23.247232,True,0
16777216.0,256.0,16384.0,256.0,8.0,35.418336,True,0
16384.0,128.0,262144.0,1024.0,1.0,6.364832,True,0
524288.0,256.0,33554432.0,256.0,8.0,63.836896,True,0
262144.0,256.0,16777216.0,256.0,8.0,31.117312,True,0
512.0,256.0,128.0,256.0,8.0,7.329728,True,0
33554432.0,256.0,32.0,256.0,8.0,121.311552,True,0
512.0,256.0,4.0,256.0,8.0,7.584064,True,0
131072.0,256.0,16777216.0,256.0,8.0,32.333824,True,0
16777216.0,32.0,4096.0,256.0,8.0,36.470784,True,0
512.0,256.0,1048576.0,256.0,8.0,7.359808,True,0
512.0,16.0,8.0,256.0,8.0,137.988064,True,0
33554432.0,256.0,262144.0,256.0,8.0,30.721984,True,0
512.0,1024.0,16777216.0,256.0,8.0,52.764896,True,0
512.0,256.0,262144.0,256.0,16.0,13.840832,True,0
512.0,256.0,1.0,256.0,2.0,3.600512,True,0
512.0,256.0,131072.0,256.0,128.0,121.904672,True,0
