tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
67108864.0,128.0,524288.0,1048576.0,128.0,47.00688,True,0
8192.0,128.0,512.0,8.0,64.0,20000000,False,0
512.0,512.0,16777216.0,1.0,2.0,20000000,False,0
2048.0,128.0,1.0,512.0,128.0,220.829632,True,0
2097152.0,1024.0,256.0,32768.0,16.0,6.04624,True,0
67108864.0,64.0,2097152.0,512.0,1.0,1112.451808,True,0
67108864.0,16.0,65536.0,131072.0,16.0,191.47216,True,0
512.0,64.0,32.0,8.0,64.0,20000000,False,0
2.0,8.0,16777216.0,2.0,1.0,20000000,False,0
65536.0,64.0,16384.0,16384.0,8.0,37.664544,True,0
67108864.0,8.0,131072.0,524288.0,1.0,1868.087168,True,0
4194304.0,256.0,67108864.0,512.0,32.0,121.835776,True,0
65536.0,128.0,1.0,128.0,128.0,39.620096,True,0
65536.0,128.0,16384.0,16.0,4.0,20000000,False,0
4.0,128.0,512.0,4.0,64.0,20000000,False,0
8388608.0,64.0,2048.0,65536.0,32.0,75.797504,True,0
2048.0,128.0,256.0,64.0,32.0,20000000,False,0
4194304.0,512.0,67108864.0,16.0,2.0,20000000,False,0
2048.0,1024.0,128.0,512.0,8.0,3.566912,True,0
4096.0,1024.0,2097152.0,1.0,8.0,20000000,False,0
67108864.0,64.0,128.0,1.0,32.0,20000000,False,0
524288.0,32.0,16384.0,524288.0,8.0,322.907616,True,0
524288.0,1024.0,16384.0,524288.0,64.0,68.121472,True,0
16777216.0,1024.0,16384.0,256.0,16.0,18.631488,True,0
8388608.0,1024.0,256.0,524288.0,8.0,48.699712,True,0
8388608.0,32.0,256.0,524288.0,8.0,116.358656,True,0
8388608.0,32.0,4096.0,65536.0,16.0,107.38464,True,0
67108864.0,512.0,16.0,2097152.0,8.0,387.567616,True,0
8388608.0,256.0,16384.0,262144.0,8.0,36.963136,True,0
67108864.0,1024.0,131072.0,512.0,16.0,46.37696,True,0
67108864.0,1024.0,8192.0,256.0,16.0,103.503264,True,0
67108864.0,512.0,32.0,512.0,16.0,229.515488,True,0
67108864.0,1024.0,1.0,128.0,16.0,76.421952,True,0
67108864.0,256.0,8.0,512.0,16.0,273.379328,True,0
67108864.0,1024.0,16384.0,4194304.0,16.0,234.86016,True,0
67108864.0,256.0,67108864.0,65536.0,16.0,59.60304,True,0
67108864.0,128.0,16.0,8.0,16.0,20000000,False,0
67108864.0,1024.0,2048.0,4096.0,16.0,245.46496,True,0
67108864.0,1024.0,512.0,512.0,512.0,49.81904,True,0
67108864.0,1024.0,131072.0,1.0,16.0,20000000,False,0
67108864.0,128.0,512.0,512.0,16.0,280.764416,True,0
67108864.0,1024.0,64.0,512.0,64.0,83.836928,True,0
67108864.0,1024.0,2048.0,32768.0,16.0,46.013376,True,0
67108864.0,1024.0,1024.0,33554432.0,32.0,1578.446464,True,0
67108864.0,16.0,8192.0,65536.0,16.0,162.194272,True,0
67108864.0,512.0,16384.0,4096.0,16.0,45.16304,True,0
67108864.0,256.0,2097152.0,4096.0,16.0,142.380576,True,0
67108864.0,256.0,2.0,67108864.0,16.0,2712.003936,True,0
524288.0,16.0,1.0,2048.0,1.0,35.408032,True,0
524288.0,512.0,64.0,65536.0,1.0,24.562752,True,0
524288.0,512.0,33554432.0,65536.0,1.0,62.136736,True,0
524288.0,512.0,1.0,8.0,1.0,20000000,False,0
524288.0,64.0,64.0,65536.0,1.0,45.574528,True,0
524288.0,2.0,256.0,65536.0,1.0,912.529408,True,0
524288.0,64.0,524288.0,65536.0,1.0,10.139648,True,0
