iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
0,executor,1668618291461,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,440939e7ec4205d1058dbf0dcc425e3ca180f81845e305caa769e0b340909a68,"[(id, 0)]",ExecutionSuccess,10.341,10.341,28.528,7.221431758314967,5
1,executor,1668618294349,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,02315525ab4af5a76d3652d905817e4f4fc7c1a1fae127f3e1a9284aeb79616b,"[(id, 0)]",ExecutionSuccess,6.915,6.915,7.33,0.1522621423729484,5
2,executor,1668618296472,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e0975e15ffffeec15c24a901582ce51ccf662d02c9e996135139fb3759e77893,"[(id, 0)]",ExecutionSuccess,6.95,6.95,11.673,1.8224711355738943,5
3,executor,1668618296857,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8c58ce8d0dea1ac39cc331773b1bfabf61f88b5ee6cda929ab5288f1355c4c14,"[(id, 0)]",ExecutionSuccess,6.883,6.883,6.972,0.030876528302255877,5
4,executor,1668618297265,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4222c340d9ec58141dbaea79d1309c5d4fb938b25c3a8d6c28faa80a84b8282b,"[(id, 0)]",ExecutionSuccess,6.854,6.854,14.481,2.8911298414287794,5
5,executor,1668618298553,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a694099179c7601860f3383b263e70cc6adb60b2433f45d354078ad995cf14c2,"[(id, 0)]",ExecutionSuccess,6.842,6.842,6.886,0.01667812939151162,5
6,executor,1668618299912,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,65233a4316bdfdf72c73f84fc380d4b5d01c2f8e90fb52ba8ca60fe76c2f553f,"[(id, 0)]",ExecutionSuccess,6.851,6.851,8.739,0.7249575435844505,5
7,executor,1668618300907,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e9bb43a6bc8689d09e137ca0128e32c379bf7f6b85e22bbe2f550129c84af579,"[(id, 0)]",ExecutionSuccess,6.87,6.87,7.023,0.058680149965725084,5
8,executor,1668618302132,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,76fb2f7628733cb7afaf5bebdd330377c29d9493919241f685932db8cbf1b22c,"[(id, 0)]",ExecutionSuccess,6.828,6.828,8.613,0.6733198348481942,5
9,executor,1668618303398,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0c0f867a6d78e4bf2947562f793395a62fda8d16937d6d23ae598c4ce0ef92ed,"[(id, 0)]",ExecutionSuccess,6.824,6.824,9.626,1.0448981959980597,5
10,executor,1668618304722,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,19554ce38e19d0a5499f29edb934abcc1fefa5abccfd5f8bd9fbbee13939ffd3,"[(id, 0)]",ExecutionSuccess,6.822,6.822,6.976,0.05777058074833596,5
