iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
15,executor,1663952739144,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.072512,None,None,None,20
16,executor,1663952739146,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.162624,None,None,None,20
17,executor,1663952739147,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.145152,None,None,None,20
18,executor,1663952739148,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.033728,None,None,None,20
19,executor,1663952739149,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.033408,None,None,None,20
20,executor,1663952739150,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.3168,None,None,None,20
21,executor,1663952739151,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,13.591296,None,None,None,20
22,executor,1663952739152,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.041984,None,None,None,20
23,executor,1663952739153,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.04256,None,None,None,20
24,executor,1663952739154,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.332576,None,None,None,20
25,executor,1663952739155,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.056032,None,None,None,20
26,executor,1663952739157,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.110752,None,None,None,20
27,executor,1663952739158,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.158048,None,None,None,20
28,executor,1663952739159,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,1.09408,None,None,None,20
29,executor,1663952739159,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,772ee91cf8d6af1d10f9863e2617d51852bfaf517eab6ce2267a9fde7f0d0e0b,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(id, 0)]",None,0.744608,None,None,None,20
45,executor,1663952768871,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.13904,None,None,None,20
46,executor,1663952768872,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.124064,None,None,None,20
47,executor,1663952768873,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.203392,None,None,None,20
48,executor,1663952768874,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.0616,None,None,None,20
49,executor,1663952768874,a8a3c4091abdff2fe0b1750200f145995aa7db546dfabdc14ca59e9ee8bf6cc7,1cc8e6768431d7d0af46fd1e5f1c0fc11dc81d8d206893a4dcbbe5dfb6c16ae5,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(fuseReduceMap, 0)]",None,0.336416,None,None,None,20
